text,label
My 16-year-old daughter has been missing since yesterday evening. She went to the market and never returned. We cannot reach her phone.,0
A stranger has been following my sister for the past week. He waits outside her office and follows her home every day. She is scared.,4
I was assaulted by my neighbor during an argument. He punched me in the face and broke my nose. I have medical reports.,2
"Someone hacked my bank account and transferred Rs 50,000 to an unknown account. I received a phishing email before this happened.",6
My colleague touched me inappropriately at the office party. This has happened multiple times and I feel unsafe at work.,1
A car hit my motorcycle and fled the scene. I sustained serious injuries and the driver did not stop to help.,5
Someone stole my laptop and phone from my car while it was parked outside the mall.,8
A person sold me fake gold jewelry claiming it was genuine. I paid Rs 2 lakhs and later found out it was fake.,7
My husband beats me regularly and threatens to kill me if I tell anyone. I have injury marks on my body.,3
Someone broke into my house last night and stole cash and jewelry worth Rs 1 lakh.,9
A minor girl from our neighborhood has been missing for 3 days. Her parents suspect she was abducted.,0
My ex-boyfriend keeps sending me threatening messages on social media saying he will harm me if I don't meet him.,4
I was beaten by a group of people during a road rage incident. They attacked me with sticks and damaged my vehicle.,2
"I received a fake job offer email asking for Rs 10,000 as registration fee. After paying, they blocked all communication.",6
A man tried to molest my daughter in the park. She managed to escape but is traumatized.,1
A truck hit my car from behind and the driver ran away. My car is badly damaged and I have whiplash injury.,5
Two men on a bike snatched my purse while I was walking on the street. It had cash and all my important documents.,8
An agent promised me a job abroad and took Rs 3 lakhs but never provided any documents or job.,7
My neighbor's 8-year-old son has visible burn marks. I suspect the parents are abusing the child.,3
Unknown people entered my farmland and are refusing to leave. They claim they bought the property.,9
My teenage son went to school but never reached. His phone is switched off and no one has seen him.,0
"A man has been standing outside my house for days and taking pictures. When I confront him, he threatens me.",4
"During a fight at a wedding, someone stabbed me with a knife. I am hospitalized with serious injuries.",2
My Instagram account was hacked and the hacker is posting inappropriate content and asking my contacts for money.,6
I was raped by someone I met on a dating app. He forced himself on me despite my refusal.,1
A speeding car hit a pedestrian near my house and drove away. The victim is critically injured.,5
Armed robbers broke into my shop and took cash from the register at gunpoint.,8
A company promised high returns on investment and took Rs 5 lakhs from me. Now they are not responding to calls.,7
My daughter's teacher has been making inappropriate comments to her. She is scared to go to school.,3
"Someone built a wall on my property boundary. When I asked them to remove it, they threatened me.",9
A newspaper published false information about me that damaged my reputation in the community.,10
My elderly mother was kidnapped from the hospital. The kidnappers are demanding Rs 10 lakhs ransom.,0
My former employee keeps calling me with abusive language and threatens to harm my family.,4
I was attacked with acid by someone. I have severe burns on my face and arms.,2
Scammers created a fake website of my business and are collecting payments from customers.,6
A family member sexually abused me for years. I want to file a complaint but I'm scared.,1
A drunk driver crashed into my parked car and left without leaving any contact information.,5
Thieves broke the lock of my shop and stole electronics worth Rs 2 lakhs.,8
Someone used my PAN card and Aadhar to take loans. Now I'm receiving recovery notices.,7
I witnessed a man beating a small child brutally in public. The child was crying for help.,3
My neighbor illegally occupied part of my house while I was away. They refuse to vacate.,9
Someone spread false rumors about my character on social media. It has affected my personal and professional life.,10
My brother went missing after attending a party. We found his car abandoned but no sign of him.,0
A stranger has been sending me obscene messages and pictures on WhatsApp despite blocking multiple numbers.,4
I was beaten up by a mob during a political rally. I suffered fractures and internal injuries.,2
I received an email claiming I won a lottery and asking for bank details. I shared my details and money was withdrawn.,6
I was drugged and sexually assaulted at a party. I woke up with no memory and injuries.,1
A bike rider hit my child while she was crossing the road and escaped without stopping.,5
Burglars entered my house through the window and stole gold ornaments and cash.,8
A person sold me a plot of land that doesn't exist. I paid full amount and now he's missing.,7
My wife is being harassed by my family members for dowry. They threaten to throw her out.,3
Someone forcibly entered my office premises and damaged property. They claim ownership of the building.,9
A person made defamatory remarks about me during a public meeting that harmed my reputation.,10
I found an abandoned child near the railway station. The child cannot speak and appears to be traumatized.,0
Someone is blackmailing me with my private photos and demanding money to not release them publicly.,4
I was attacked with a sharp weapon during a property dispute. I have deep cuts and required stitches.,2
Hackers locked my computer files and are demanding Bitcoin payment to unlock them.,6
A minor was sexually assaulted in our building. The suspect is known to the family.,1
A vehicle hit our cow on the highway and didn't stop. The cow died on the spot.,5
Someone stole my motorcycle from the parking lot. I have the registration details and CCTV footage.,8
I invested in a cryptocurrency scheme that turned out to be a Ponzi scheme. I lost Rs 8 lakhs.,7
A teacher has been physically punishing students brutally. My child has marks on his back.,3
Unauthorized construction is happening on my ancestral property. The builders are threatening us.,9
A group of people created disturbance during a religious procession leading to stone pelting.,10
Someone poisoned the street dogs in our locality. Several dogs died and we suspect a resident.,11
I want to report illegal sand mining happening near the river. The operators are damaging the environment.,11
There is illegal liquor sale happening in our area. The shop operates without license.,11
