text,label
My wife has been missing for two days. She left for work but never arrived. Her phone is unreachable.,0
Someone is continuously calling and sending threatening messages to me demanding money.,4
I was physically assaulted by my landlord when I asked for my security deposit back.,2
My credit card details were stolen online and unauthorized purchases were made.,6
I was sexually harassed by my boss at the workplace. He made inappropriate advances.,1
A car hit my father while he was on his bicycle and the driver escaped from the scene.,5
Robbers entered my house when I was sleeping and took all valuable items.,8
A contractor took advance payment for construction work but disappeared without doing any work.,7
My 12-year-old niece disclosed that a relative has been touching her inappropriately.,3
Someone destroyed the boundary wall of my property and is claiming the land as theirs.,9
A competitor spread false information about my business causing financial losses.,10
A child was found wandering alone in the market. He says he was separated from his parents.,0
My ex-partner keeps following me everywhere and waits outside my house. I feel unsafe.,4
I was beaten with iron rods by loan recovery agents. I have multiple fractures.,2
Someone cloned my debit card and withdrew large amounts from ATMs in different cities.,6
I was gang-raped by a group of men. I want to file a complaint but need protection.,1
A truck hit our tempo and overturned it. The truck driver fled leaving us injured.,5
My entire jewelry collection was stolen from the locker at home during daytime.,8
I was duped by an online seller who took payment but never delivered the product.,7
A child in our neighborhood is being denied food and education by parents. The child looks malnourished.,3
Someone illegally entered my vacant flat and changed the locks. They are living there now.,9
There is illegal gambling happening in a building in our area. It operates daily.,11
